sentence,True Label,Predicted Label,source
Î²-CTx had no significant association with DR. ,causal,non-causal,Pubmed
SEACOM cable problems may only be resolved next week Initial estimates indicate that the total SEACOM repair time will be around twelve days,causal,non-causal,esl2
"This relation did not vary by gender nor education, which may indicate that individuals only start to use health services more frequently when their needs increase.",causal,non-causal,Pubmed
Some men voice complaints of shortened penis following prostate cancer treatment,causal,non-causal,Press Release
"Research shows that use of popular antidepressants is linked to an increased risk of some strokes caused by bleeding in the brain, but that the risk is low, according to a multi-study analysis published in the October 17, 2012, online issue of Neurology&reg;, the medical journal of the American Academy of Neurology.",causal,non-causal,Press Release
My understanding of people's ideas about cooperation in Kamchatka was significantly enhanced by the opportunity to refer back to the game when explaining my thoughts and posing my questions.,causal,non-causal,Ssc
Soldiers and police are leading rescue operations in Indonesia after a 6 . 1 magnitude earthquake hit Aceh province leaving 24 dead and over 200 injured .,causal,non-causal,esl2
"No one else can borrow money without conditions, and the American people do not expect that the investment bank be allowed to do so.",causal,non-causal,because
The rs7044343 polymorphism could be involved in regulating the production of IL-33.,causal,non-causal,Pubmed
"In this, greater Black cooperation in this social dilemma may in part be the result of coping strategies developed by Black students to overcome social-structural and institutional hurdles faced by students of color.",causal,non-causal,Ssc
Their lungs have barely formed and their airways are not developed enough to inhale.,causal,non-causal,because
Aromatherapy massage is a simple and effective nonpharmacological nursing intervention that can be used to manage neuropathic pain and improve QoL  in patients with painful neuropathy.,causal,non-causal,Pubmed
"In the East , the much hoped for bounties of `` Lebensraum '' were never attained as fluctuating front-lines and Soviet scorched earth policies denied resources to the German invaders .",causal,non-causal,altlex
"Historically, women have taken on peacekeeping roles in groups (De Groot & Peniston-Bird, 2000;Goldstein, 2003), perhaps because they are more concerned with preserving group harmony (Baumeister & Sommer, 1997;Geary, 1998).",causal,non-causal,Ssc
"Klitschko finally landed a long , straight right in the fifth and the round ended with Thompson struggling on the ropes .",causal,non-causal,esl2
"Æthelred 's control over his nobles began to falter , and he grew increasingly desperate .",causal,non-causal,altlex
Anthony LaCalamita III was found guilty of first - degree murder and assault with intent to murder in the shotgun slaying of 63 - year - old Madeline Kafoury and assault with intent to kill in the shootings of Paul Riva and Alan Steinberg at the accounting firm .,causal,non-causal,esl2
Low serum level of Chromium and manganese were found in diabetic patients as compare to non-diabetic individuals.,causal,non-causal,Pubmed
"I derive tremendous pleasure and fulfillment from teaching , particularly when I am able to help students understand a previously foreign concept or idea , aid them in seeing a familiar object or event from a new and unusual perspective , guide them with projects they are working on , or encourage the interests they have .",causal,non-causal,semeval
The drinking habits among adults during midlife affect the atherosclerotic process and sustained heavy drinking is associated with an increased cIMT compared to stable moderate drinkers.,causal,non-causal,Haber
"Consistent with this tendency to operate according to personality type, many of the participants in my laboratory study were slow to change their behaviors when they were at low performing ranks.",causal,non-causal,Ssc
The performance of TaETM achieves the same results in terms of quality of life and anorectal function as conventional ETM.,causal,non-causal,Pubmed
"Because of the partner design, this yields 18 independent observations for each treatment.",causal,non-causal,Ssc
"WLADIMIR KLITSCHKO RETAINS WORLD HEAVYWEIGHT BELTS Wladimir Klitschko stopped Tony Thompson in the sixth round to retain his WBA , IBF and WBO heavyweight title belts Saturday night .",causal,non-causal,esl2
"Dehydration from fluid loss is the only major problem the virus causes , most often in the elderly .",causal,non-causal,semeval
"Obese adolescents are more likely than their normal-weight counterparts to have hearing loss, according to results of a new study.",causal,non-causal,Press Release
France jewels thefts : Robbers ram 4x4 into Paris shop,causal,non-causal,esl2
"However, serum folate levels were decreased in postadolescent acne patients.",causal,non-causal,Pubmed
This prospective study suggested that there was an inverted-U-shaped relation between neonatal vitamin D status and neurocognitive development in toddlers.,causal,non-causal,Pubmed
Cabinet minister Michael Eitan said Sunday that Netanyahu's remarks marked a substantive change in Israel's position.,causal,non-causal,ctb
The transmitter emits a constant radio signal to crea .,causal,non-causal,semeval
"In 1999 , Comeaux stabbed his wife during a visit , using his wheelchair to pin her against a wall while he stabbed her . His wife survived , but another inmate who tried to break up the attack also suffered stab wounds , and Comeaux was convicted of additional assault charges and received two additional life sentences .",causal,non-causal,esl2
A 23 - year - old man has been charged with the murders of his mother and sister .,causal,non-causal,esl2
"Last week's escapee from the Texas prison system is still at large and is now on the U . S . Marshal Service's ""Most Wanted"" list of fugitives . Arcade Joseph Comeaux Jr . is serving three life sentences .",causal,non-causal,esl2
Gaza following the widespread destruction caused by the Israeli invasion .,causal,non-causal,semeval
Subjects might have inferred from the capable-but-failing partner's behavior that he or she disvalued the task or the performance incentive.,causal,non-causal,Ssc
"It's just our sense, and of course you're in a better place than we are to make the judgment, that the more complex issues like resolution or even financial regulatory restructuring are simply not likely to happen in a short term, and we need to take the time to make sure it's done right and thoroughly worked through.",causal,non-causal,because
"The MOU recently finalized between the SEC and the Federal Reserve is consistent with this long-term vision of the Blueprint, and should help inform future decisions, as our Congress considers how to modernize and improve our regulatory structure.",causal,non-causal,because
The Maariv newspaper said Sunday that Netanyahu's comments last week were in response to signals from Syria that it wants to renew the long-stalled peace talks between the two countries.,causal,non-causal,ctb
"The Greek prime minister has denounced what he called the ""murder"" of three bank workers killed when the building they were in was torched during protests in Athens against harsh new austerity measures .",causal,non-causal,esl2
"The indirect effect  through smoking varied by educational level, with the strongest indirect effect  observed for those with the lowest education (ORÂ =Â 1.34 (1.14-1.57)). The indirect  effect through occupational exposures was substantial among men with primary  (ORÂ =Â 1.22 (1.15-1.30) for asbestos and silica) or vocational secondary education  (ORÂ =Â 1.18 (1.12-1.25)).",causal,non-causal,Haber
"Subsea cable operator , Seacom , announced on Twitter today ( 20 October 2011 ) that they have restored services to all customers using alternate routes , following an outage that was initially expected to take 12 days to repair .",causal,non-causal,esl2
Concerns the Japanese might use bases in Vichy-held Madagascar caused the British to invade the island in early May 1942 .,causal,non-causal,altlex
A Wayne State University School of Medicine study has found that an overwhelming majority of African-American patients with hypertension also suffered hidden heart disease caused by high blood pressure even though they displayed no symptoms.,causal,non-causal,Press Release
"A 35 - year - old sheriff ’ s deputy working with an anti - gang unit was killed Friday when he knocked on the door of a home and someone shot him in the head , authorities said . Ortiz probably died instantly , Waldie said .",causal,non-causal,esl2
Registers are used for the most frequently needed data items to avoid having to access main memory every time data is needed .,causal,non-causal,altlex
A man has denied arson following a fire at a Somerset supermarket early on Sunday .,causal,non-causal,esl2
Results are encouraging and demonstrate that  exercise was popular and conveyed benefit to participants.,causal,non-causal,Pubmed
Defra identified the different noises made by dogs and the meanings behind them .,causal,non-causal,semeval
Which factors influence the use of these important tests that can help doctors ensure that high-risk drugs are prescribed safely?,causal,non-causal,Press Release
SVR was achieved in 90% of patients (n = 459),causal,non-causal,Haber
"Mrs. Biggert:  Thank you, Mr. Chairman, and thank you for holding today's hearing on systemic risk.",causal,non-causal,because
"Although both are characterized by increased intestinally derived lipoprotein particles, HDL is reduced only in SCH.",causal,non-causal,Pubmed
"One place Lindsay is finding this particularly difficult though is at the Betty Ford Centre , where the actress has just finished 30 days' worth of treatment and has decided that the renowned facilities there won't be enough to keep her around for her court - ordered 90 - day stay in rehab , so she's gone elsewhere . According to a report from TMZ published this week ( June 13 ) , the Mean Girls actress has had enough of the Palm Springs rehab centre and has decided to spend the rest of her court - ordered stay in a rehab centre in Malibu , named the Cliffside .",causal,non-causal,esl2
"He was a trouble maker then , a leader in SDS , and a trouble maker he remains .",causal,non-causal,semeval
"Lindsay Lohan's lawyer says the actress checked into rehab on Thursday , but the facility has not been officially sanctioned by the court that ordered her to serve 90 days of treatment .",causal,non-causal,esl2
"A British man has been killed after falling around 2 , 000ft while climbing in New Zealand .",causal,non-causal,esl2
In January 1941 secret high level staff talks with the British began for the purposes of determining how to defeat Germany should the US enter the war .,causal,non-causal,altlex
Licenses and Permits are revenues from the selling of vendor and dog licenses and other items .,causal,non-causal,semeval
The TriClip system appears to be safe and effective at reducing tricuspid regurgitation by at least one grade,causal,non-causal,Haber
"The results reveal that the fatality rate among consumers of both drugs is 14.3 times higher than for the general population, while among those only using cocaine, it is 5.1 times higher.",causal,non-causal,Press Release
"ERM was associated with a worsened visual and anatomic response, and VMA with an improved anatomical response particularly when spontaneous VMA release occurred during treatment.",causal,non-causal,Pubmed
We did not obtain saliva samples from two participants because these two participants were short-termly recruited and not screened in advance for health and smoking absence (final N = 58).,causal,non-causal,Ssc
We did not see variation in the risk of urinary tract infection with the visibility of the urethral meatus among uncircumcised boys.,causal,non-causal,Haber
"In terms of school casualties , thousands of school children died due to shoddy construction .",causal,non-causal,altlex
"As a result , Nanmadol continued to intensify rapidly and became a typhoon , by midnight , that day .",causal,non-causal,altlex
People made tools to help them remember where they were in a maths problem .,causal,non-causal,altlex
"TDCJ officials could answer few questions about how convicted rapist Arcade Joseph Comeaux Jr . , 49 , escaped Monday from a prison van in Baytown after pulling a gun and handcuffing two transport officers , stealing their three guns and walking away .",causal,non-causal,esl2
We continue to see progress toward a world free of the daily terror of antipersonnel landmines .,causal,non-causal,semeval
"Surprisingly, this is true even when the immigrants lack proficiency in English or French, which might be thought to hamper their ability to read prescription labels or instructions, said lead author Dr. Joel Ray, a physician and researcher at St. Michael's Hospital.",causal,non-causal,Press Release
Profit from sale of investments is tax-free for general insurers .,causal,non-causal,semeval
"Williams , a three - time Pro Bowl nose tackle , was stopped for speeding westbound on state route 94 at approximately 1 : 30 a . m Sunday .",causal,non-causal,esl2
"Yet, when group identification was high, both leader types appeared to be equally efficient.",causal,non-causal,Ssc
Gallstone disease seems to be independently associated to cardiovascular disease.,causal,non-causal,Haber
"A government affidavit in 2006 stated the leak caused 558,125 injuries including 38,478 temporary partial injuries and approximately 3,900 severely and permanently disabling injuries .",causal,non-causal,altlex
"When the church fire destroyed church records , I suspected foul play , but knew that it was probably just chance . Now that the Dairy has burned , and foul play seems clear , there is an unmistakable pattern .",causal,non-causal,esl2
"In 2001 , Sarah Michelle Gellar received a Golden Globe-nomination for Best Actress in a TV Series-Drama for her role in the show , as well nominations for the Teen Choice Awards and the Saturn Award for Best Genre TV Actress .",causal,non-causal,altlex
"( Tue , 16 Aug 2011 ) This morning one of the Wits Internet Service providers , SEACOM , experienced an outage affecting International Internet browsing . TENET will continue to monitor and ensure that it is stable however , but from the looks of things traffic should now be flowing normally again .",causal,non-causal,esl2
"The MUC5B promoter polymorphism was found to be associated with interstitial
lung disease in the general population.",causal,non-causal,Haber
"Preoperative indicators of psychopathology, notably indicators that are dimensional in nature, are important in predicting postoperative outcomes.",causal,non-causal,Pubmed
Adolescent s weight  socioeconomic status may affect cancer later in life,causal,non-causal,Press Release
Earplugs relieve the discomfort from traveling with a cold allergy or sinus condition .,causal,non-causal,semeval
The desperate man who had clung to the stump had battered the rocks with a shuddering thump .,causal,non-causal,semeval
"In the sample studied, no association was found between fetal growth restriction and changes in cardiovascular risk factors in adolescents.",causal,non-causal,Pubmed
"The Indian Navy patrolling the Gulf of Aden on Thursday thwarted a multi - boat attack by sea brigands on merchant vessels , apprehending 26 Somali pirates and confiscating arms and ammunition , in the fifth successful anti - piracy operation since September .",causal,non-causal,esl2
Adam Smith ' s first measure of fame was gained from a series of public lectures on rhetoric and belles lettres delivered in Edinburgh from 1748 to 1751 .,causal,non-causal,semeval
"The renal and cardiac TOD evolution, as well as the PAIx and CAIx, did not change in either group.",causal,non-causal,Pubmed
"Arrested by the CHP on suspicion of drunken driving , he was booked into county jail and later released on bond .",causal,non-causal,esl2
