sentence,true_label,predicted_label,source
"lung support technology, the University of Michigan's Transplant Center was able to increase the number of kidneys, livers and pancreases available for transplant by about 20 percent.",1,0,Press_Release
"In addition , demobilisation and economic decline following the war caused high unemployment .",1,0,altlex
"However, the results suggest that the effects of diets are likely to be habitat specific, and  observations from the gut microbiome are not transferrable to the oral microbiome.",1,0,Pubmed data.csv
The Hawke ' s Bay Herald building was completely destroyed by the fire after the earthquake .,1,0,semeval
"Heritage Media Corp., New York, said it offered to buy the shares of POP Radio Corp. it doesn't already own in a stock swap. Heritage, which owns 51 % of POP's 3.6 million shares outstanding, said it will exchange one share of a new preferred stock for each POP common share it doesn't already own.",0,1,ctb
"Lindsay Lohan has checked out of the Betty Ford Treatment Center in Palm Springs after completing a 30 - day program , but she's not in the clear yet !",1,0,esl2
LIMITATIONS: It was difficult to establish temporality in this cross-sectional study.,0,1,Pubmed data.csv
"Third , air and water pollution from fossil fuels are a huge problem in China .",1,0,semeval
The findings from this prospective study support the use of nutritional assessment in inpatients to predict PU risk and target appropriate interventions.,0,1,Pubmed data.csv
Our results suggest that feet are impenetrable to the alcohol component of vodka,1,0,Haber
"However, this is not always the case: women and babies in developing countries are more likely to die than those in developed countries where women are more likely to access better care and counselling before and during pregnancy; women with cardiomyopathy, a disease of the heart muscle, are also more affected by pregnancy.",1,0,Press_Release
Prescribing micronutrient-fortified SQ-LNS to ill children presenting for primary care in rural Gambia had a very small effect on linear growth and did not reduce morbidity compared to unfortified SQ-LNS.,1,0,Pubmed data.csv
Three people died in a burning bank as tens of thousands of protesters took to the streets of Athens during a general strike over the Greek government's planned spending cuts .,1,0,esl2
"Subsea cable operator , Seacom , announced on Twitter today ( 20 October 2011 ) that they have restored services to all customers using alternate routes , following an outage that was initially expected to take 12 days to repair .",1,0,esl2
The number of identified SLNs did not differ significantly between TcTM and TcSC.,1,0,Pubmed data.csv
These results are limited by the 32% response rate and potential for bias towards selection of those most careful with their health.,0,1,Pubmed data.csv
"INS Sukanya intercepts pirate ships , arms seized",1,0,esl2
Department of Corrections spokeswoman Michelle Lyons said Thursday that the convicted sex offender was still on the run . Comeaux was in a wheelchair Monday when he pulled a gun on two guards during a transfer from a unit in Huntsville to one in Beaumont .,0,1,esl2
There are indications that the unequal range of pay-off accelerated the observed trends rather than reversing them.,1,0,Ssc
"The logical extension of this too big to fail perception is that markets no longer work and that the government must not only exercise greater control of our capital markets, but also be the ultimate guarantor of financial solvency; that would be a conclusion I could not endorse.",1,0,because
"Family doctors can take more than a month to record ovarian cancer, once diagnosed by a specialist, in one in 10 cases, indicates research published in the launch issue of the new online journal BMJ Open.",0,1,Press_Release
"During the same time period, the weight gain of very preterm infants improved, significantly.",1,0,Pubmed data.csv
Wide variation in the relative reduction in cholesterol levels was also observed among patients in whom antidrug antibodies did not develop.,1,0,Pubmed data.csv
Small LSG  at baseline is at higher risk of dilatation.,1,0,Pubmed data.csv
The purpose of this article is to report the findings of a study on the effects of the federal truth-in-lending legislation .,0,1,semeval
"Much of it, of course, using the standards of top newspapers, cannot be used since it is largely gossip we are repeating, although it certainly could make for some very good stories.",1,0,because
"""This study contributes important information regarding the safety of balneotherapy in hypertensive and obese diabetics by showing no alterations of antioxidant, inflammatory, or metabolic indices.""",0,1,Pubmed data.csv
"In-hospital mortality and late mortality were lower in the surgically treated group (26.6% vs 41.8%; absolute risk reduction [ARR], -15.2%; P=.004 and 29.7% vs 46.2%; ARR, -16.5%; P=.002, respectively). Operation was independently associated with a lower risk of in-hospital mortality (odds ratio, 0.42; 95% CI, 0.22-0.79; P=.007). Operation was associated with reduced mortality in patients with paravalvular complications (ARR, -40.5%), severe heart failure (ARR, -32%), and native valve endocarditis (ARR, -17.8%).",1,0,Haber
"When Monday's violence had concluded , the receptionist - - Madeline Kafoury - - was shot dead and two managers , Paul Riva and Alan Steinberg , were wounded .",1,0,esl2
"The MOU recently finalized between the SEC and the Federal Reserve is consistent with this long-term vision of the Blueprint, and should help inform future decisions, as our Congress considers how to modernize and improve our regulatory structure.",1,0,because
"English North-South differences in smoking can be explained through  adverse, cross-sectional SEP.",0,1,Pubmed data.csv
The applet requires a browser that supports JDK 1 . 1 . 5 or above .,0,1,semeval
"Among adults undergoing major surgery, complete handover  of intraoperative anesthesia care compared with no handover was associated with a  higher risk of adverse postoperative outcomes.",1,0,Haber
The findings may help explain why people with apple-shaped bodies are more likely than those with pear-shaped bodies to develop kidney disease.,1,0,Press_Release
Iraq said the roundup was to protect them from unspecified threats;,1,0,ctb
The implementation of a public bicycle share program can lead to greater likelihood of cycling among persons living in areas where bicycles are made available.,1,0,Haber
"Although our regulatory architecture and authorities are outdated and less than optimal, we have been working together; while respecting our different authorities or responsibilities, we have been working together to ensure the stability of the financial system, because it is in the interest of the American people that we do so.",1,0,because
All NCD risk factors are markedly high among the urban slum adults.,1,0,Pubmed data.csv
Both higher maternal and paternal education levels are associated with lower childhood  undernutrition.,1,0,Haber
Plasma levels of PTX3 could help distinguish active from inactive Takayasu arteritis but should not be adopted for clinical use until the findings are confirmed in a broader spectrum of patients whose disease activity is unknown or equivocal before testing.,0,1,Haber
Hypertension appears to be associated with a doubling of the risk of future ESRD in an otherwise healthy adolescent population.,1,0,Haber
Research finds targeted screening for hepatitis C is cost effective,1,0,Press_Release
It was concluded that the high degree of competitiveness typically found in PD game studies may be largely a function of the isolation imposed on the subjects by the experimenter.,1,0,Ssc
But not every run of the experiment produced the desired state - a very large number of failed tries accompanied each successful creation .,1,0,semeval
